brand,model,color,line,productGroup,baseTitle
"Royal Gourmet",,,,,"Royal Gourmet GD401 Portable Propane Gas Grill and Griddle Combo with Side Table 4-Burner Folding Legs Versatile Outdoor Black"
"MECO","9325.8.181","Satin Black",,,
"TITAN GREAT OUTDOORS",,,,,
"Camp Chef","TB90LW","Black/red",,,"Camp Chef Tahoe Burner"
"Dyna-Glo","DGN576DNC-D","Black",,,"Dyna Glo DGN576DNC D Premium Charcoal Grill,"
"Traeger","BAC531","BBQ SPATULA",,,
"Char-Broil","463274419","Stainless/Black",,,
"Pellet Guide",,,,,
"Royal Gourmet","CC1830F-C","Black",,,
"Napoleon","67732","Cast Iron",,,
"Royal Gourmet","PD1301R","Red",,,"Royal Gourmet 24-Inch 3-Burner Portable Table Top Gas Grill Griddle 25 500 BTUs"
"Z GRILLS","ZPG-7002F2","Silver",,,
"AMERICAN GOURMET","463773717","Black",,,
"Weber","61025001","Copper",,,"Genesis II Grill"
"Weber","61006001","Stainless Steel",,,"Weber II Grill"
"George Foreman","GFO3320GM","Gunmetal",,,
"Cuisinart","CGG-180TS","Petit Gourmet Tabletop Gas Grill, Stainless Steel",,,"CUISINART Portable Petit Gourmet Tabletop Gas Grill"
"Green Mountain Grills","DCWF","Green",,,"Green Mountain Davy Crockett Sense Mate Electric Wi-Fi Control Foldable Portable Wood Pellet Tailgating Grill with Meat Probe"
"Pit Boss Grills","75275",,,,
"LANNEY",,"Square",,,"Pellet Smoker Tube 12 Stainless Steel BBQ Wood for Cold Hot Smoking Portable Barbecue Smoke Generator Works with Electric Gas Charcoal Grill Smokers"
"Char-Griller","E82424","Black",,,
"Masterbuilt",,"black",,,"Masterbuilt MB20071117 Digital Electric Smoker 30 inch Black"
"ALSISK",,"Tube +Hooks +Cleaning brush",,,"Pellet Smoker Tube,12 Stainless Steel BBQ Wood Pellet Tube Smoker for Cold/Hot Smoking,5 Hours of Billowing Smoke for Any Grill or Smoker.Hexagon , Accessories 2 S Shape Hooks,1 Cleaning Brush. Tube Hooks Cleaning brush"
"Weber","14402001","Copper",,,"Weber 14402001 Original Kettle Premium Charcoal Grill, 22 Inch,"
"GasOne","B-5155",,,,
"Weber","54060001","Gray",,,"Weber Grill"
"Blackstone","1554","Black",,,"Blackstone Inch Flat Top Gas Station Propane Restaurant Grade Professional Outdoor Griddle"
"Cuisinart","CGG-059","Grillster 8,000 BTU Portable Gas Grill",,,
"Cuisinart","COS-244","36"" Propane",,,
"Realcook",,"17"" Charcoal",,,"Realcook Charcoal BBQ Smoker Grill Vertical for Outdoor Cooking"
"Dracarys",,,,,"cast Iron Grate BBQ high fire Heat Charcoal Plate for Parts Replacement"
"Char-Griller","E06614","Red",,,"Char-Griller Charcoal Grill"
"Cuisinart","CFGS-150","Folding Grill Stand",,,"Cuisinart Grill Stand"
"Dyna-Glo",,"Black",,,"Dyna-Glo Offset Charcoal Smoker"
"George Foreman","GFO240S","Silver",,,"George Foreman"
"ISUMER",,"Black",,,
"Weber","15301001","Black",,,
"ASMOKE","AS300","Pine Green",,,"ASMOKE Portable Wood Pellet Grill and Smoker 8 in 1 BBQ Set AS300 256 Sq. in. Cooking Area"
"MASTERBUILT(R)",,,,,
"Char-Griller","E1224","Black",,,
"Flame King","YSNHT500","black",,,"YSNHT500 RV Or Trailer Mounted BBQ Motorhome Gas Grill 214 Sq Inch Cooking Surface Adjustable Flame Controller,"
"ROVSUN",,,,,
"Magma","A10-918-2GS","Multi",,,
"Coleman","2000003735","white",,,
"BESMYJ",,"silver",,,
"Traeger","TFB89BLF","Black-Fulfilled by Traeger",,,"Traeger Grills Ironwood 885 Pellet Grill"
"Char-Broil","12201570-A1","Black",,,
"THOUSAND OAKS BARREL",,"Oak",,,
"Blackstone",,,,,
"Realcook",,,,,"Realcook Cold Smoke Generator"
