brand,model,color,aid,title,filteredTitle
Baby Trend,TJ94522,Millennium Blue,AIDNIWJ71001,"",baby trend
Baby Trend,TJ75B12A,Moonstone,AIDUQW042001,"",baby trend
gb,618000797,Laguna Blue,AIDL8CWD1001,"gb Pockit+ Lightweight Baby Stroller, Umbrella Stroller, Collapsible, Travel-Friendly, Folds into Backpack, Fits in Overhead Compartments, Reclining Seat, UPF50+ Sun Canopy, Laguna Blue",gb,pockit
Graco,2113145,Ontario,AID9TF022001,"Graco Modes Pramette Travel System | Includes Baby Stroller with True Bassinet Mode, Reversible Seat, One Hand Fold, Extra Storage, Child Tray and SnugRide 35 Infant Car Seat, Ontario",graco,modes
Baby Trend,TS40B65B,Doodle Dots,AIDO3L3A1001,"",baby trend
Baby Trend,SG13105,Black,AID0L7771001,Baby Trend Snap-N-Go EX Universal Infant Car Seat Carrier,baby trend,snap-n-go
Baby Trend,JG95203,Tiger Lily,AIDT8ES91001,"Baby Trend Xcel Jogger Stroller, Tiger Lily",baby trend,xcel,jogger
Baby Jogger,2082768,Slate,AIDP1FCA2001,"Baby Jogger City Mini GT2 Stroller, Slate",baby jogger,city,mini
Disney,US139CJC,Pink Minnie,AIDWDU781001,"Disney Umbrella Stroller with Basket, Pink Minnie",disney,umbrella
INFANS,"",White,AIDWGDJ12001,"INFANS Baby Stroller for Newborn, 2 in 1 High Landscape Convertible Reversible Bassinet Pram for Infant & Toddler, Foldable Aluminum Alloy Pushchair with Adjustable Backrest, 3D Suspension (White)",infans,baby
gb,619000537,Velvet Black,AIDP8ZA12001,gb Pockit Air All Terrain Ultra Compact Lightweight Travel Stroller with Breathable Fabric in Velvet Black,gb,pockit
gb,619000539,Night Blue,AIDSR9CA2001,gb Pockit Air All Terrain Ultra Compact Lightweight Travel Stroller with Breathable Fabric in Night Blue,gb,pockit
Evenflo,56012367,Salsa,AIDOBJ652001,Evenflo Pivot Modular Travel System with SafeMax Car Seat,evenflo,pivot
Baby Trend,TJ99106,Spartan,AIDFG6182001,"",baby trend
Baby Trend,TJ30442,Willow,AID9FZVD1001,"",baby trend
Evenflo,560131993A,Sandstone,AID4UCT81001,"",evenflo
