brand,model,color,aid,title
UPPAbaby,0818-MIN-US-RYN,Teal Melange/Silver/Saddle Leather,AIDEEKJ12001,2018 UPPAbaby MINU Stroller - Ryan (Teal Melange/Silver/Saddle Leather)
UPPAbaby,0818-MIN-US-JKE,Black Melange/Carbon/Black Leather,AIDJARR81001,2018 UPPAbaby MINU Stroller - Jake (Black Melange/Carbon/Black Leather)
UPPAbaby,,Emmett/Jake,AIDU9UGI1001,2018 UPPABaby Vista Stroller - Emmett (Green Melange/Silver/Saddle Leather) + MESA- Jake (Black)
UPPAbaby,0318-VIS-US-LOC,White/Silver/Leather,AIDS07EB1001,"2018 UPPAbaby VISTA Stroller, Loic (White/Silver/Saddle Leather)"
UPPAbaby,0252-TAY,Taylor,AIDML9U54001,"UPPAbaby RumbleSeat, Taylor (Indigo)"
UPPAbaby,0818-MIN-US-JOR,Charcoal Melange/Silver/Black Leather,AIDG2RDJ1001,2018 UPPAbaby MINU Stroller - Jordan (Charcoal Melange/Silver/Black Leather)
UPPAbaby,0318-VIS-US-WIL/1017-MSA-US-JKE,William/Jake,AIDSO3BA2001,UPPAbaby Vista Stroller - William (Chambray Oxford/Silver/Navy Leather) + Mesa Infant Car Seat - Jake (Black)
UPPAbaby,0818-MIN-US-JKE/0919-MST-WW,Jake Black,AIDQNC174001,UPPAbaby Minu Stroller - Jake (Black Melange/Carbon/Black Leather) + Snack Tray for Minu
UPPAbaby,0818-MIN-US-JOR + 0918-MBK-US-JOR,Jordan,AIDPEVS72001,UPPAbaby MINU Stroller +from Birth Kit - Jordan (Charcoal Melange/Silver/Black Leather)
UPPAbaby,0918-BKR-WW,Rain Shield,AIDRCGB12001,UPPAbaby From Birth Kit Rain Shield
UPPAbaby,0420-CRZ-NA-GRG,,AIDA9JF13001,UPPAbaby Cruz V2 Stroller - Gregory (Blue Melange/Silver/Saddle Leather)
UPPAbaby,0719-GLK-US-JOR,Gray,AIDL3CI52001,"UPPAbaby G-Link 2 Stroller- Jordan (Charcoal Melange/Silver), Gray"
UPPAbaby,0318-VIS-US-TAY,Indigo/Silver/Leather,AID54BVI1001,"2018 UPPAbaby VISTA Stroller, Taylor (Indigo/Silver/Saddle Leather)"
UPPAbaby,0417-CRZ-US-TAY,Taylor,AIDLJ1QE1001,2017 UPPAbaby Cruz - Taylor (Indigo/Silver)
UPPAbaby,0818-MIN-US-JKE + 0918-MBK-US-JKE,Jake,AIDB1BZY3001,MINU Stroller/from Birth Kit - Jake (Black Melange/Carbon/Black Leather)
UPPAbaby,0918-MBK-US-DEV,DEVIN,AIDJROK72001,UPPAbaby From Birth Kit - DEVIN (light grey)
UPPAbaby,0320-VIS-US-FIN/0217,Silver,AIDKRX974001,UPPAbaby Vista V2 Stroller - Finn (Deep Sea/Silver/Chestnut Leather) + Piggyback for Vista & Vista V2
UPPAbaby,0420-CRZ-NA-EMT/1017-MSA-US-JKE,,AIDQPUS64001,UPPAbaby Cruz V2 Stroller - Emmett (Green Melange/Silver/Saddle Leather) + Mesa Infant Car Seat - Jake (Black)
UPPAbaby,0918-MBK-US-RYN,Ryan Teal Melange,AID1MTDA2001,2018 UPPAbaby from Birth Kit - Ryan (Teal Melange)
