brand,model,color,line,productGroup,title,filteredTitle
Cuisinart,CGG-059,"Grillster 8,000 BTU Portable Gas Grill","","","",cuisinart
Weber,51060001,Titanium,"","","Weber 51060001 Q1200 Liquid Propane Grill,Titanium",weber,q1200,liquid,propane
Weber,54060001,Gray,"","","",weber
Kamado Joe,KJ13RH,Blaze Red,"","",Kamado Joe Jr. KJ13RH Charcoal Grill 13.5 inch Blaze Red,kamado joe,charcoal
Blackstone,1554,Black,"","","",blackstone
Smoak Firewood,"","","","","Smoak Firewood Cooking Wood Logs - USDA Certified Kiln Dried (Maple, 16in Pieces (60-70lbs))",smoak firewood,cooking,wood,logs,usda
Weber,50060001,Chrome,"","","",weber
Kamado Joe,KJ23RH,Blaze Red,"","","Kamado Joe KJ23RH Classic I Charcoal Grill, 18 inch, Blaze Red",kamado joe,classic
Masterbuilt,20101114,Smoker Leg Kit,"","",Masterbuilt 2010114 LLC 20101114 Universal Electric Smoker,masterbuilt,electric
Realcook,"","20"" Charcoal","","",Realcook Charcoal BBQ Smoker Grill - 20 Inch Vertical Smoker for Outdoor Cooking Grilling,realcook,charcoal,bbq
ASMOKE,AS300,Pine Green,"","","ASMOKE AS300 Electric Portable Wood Pellet Tailgating tabletop Grill and Smoker w/ Waterproof Cover and Stainless Steel Meat Probe,256 Sq. in. Cooking Area,8 in 1 BBQ Set,PID Control, Pine Green",asmoke,electric,portable
Megamaster,820-0065C,Red + Black,"","","Megamaster 820-0065C Propane Gas Grill, Red + Black",megamaster,propane,gas
Cuisinart,"","","","","Cuisinart CGG180 CGG-180 Petit Gourmet Gas Grill with VersaStand, Red, 31.5"" H x 16.5"" W x 16"" L & CGC-21 All-Foods Gas Grill Cover , Black",cuisinart,gourmet
Blackstone,1666,Black,"","","Blackstone 1666 Tabletop Without Hood-Propane Fuelled Outdoor Grill, 22 inch, Black",blackstone,tabletop
ALSISK,"",Tube +Hooks +Cleaning brush,"","","Pellet Smoker Tube,12""Stainless Steel BBQ Wood Pellet Tube Smoker for Cold/Hot Smoking,5 Hours of Billowing Smoke-for Any Grill or Smoker.Hexagon , Accessories -2 S Shape Hooks,1 Cleaning Brush. (Tube +Hooks +Cleaning brush)",alsisk,pellet,smoker,tube12stainless
Weber,61006001,Stainless Steel,"","","Weber 61006001 Genesis II S-335 3-Burner Liquid Propane Grill, Stainless Steel",weber,genesis,ii
Weber,15301001,Black,"","","Weber 15301001 Performer Charcoal Grill, 22-Inch, Black",weber,performer,charcoal
Cuisinart,CGG-180TS,"Petit Gourmet Tabletop Gas Grill, Stainless Steel","","","",cuisinart
Z GRILLS,ZPG-5502G,Bronze,"","","Z GRILLS ZPG-5502G 2021 Upgrade Wood Pellet Grill & Smoker, 8 in 1 BBQ Grill Auto Temperature Control, 550 sq in Bronze",z grills,2021
Char-Broil,"","","","","Char-Broil 463375919 Performance Stainless Steel 4-Burner Cabinet Style Liquid Propane Gas Grill & All-Season Grill Cover, 3-4 Burner: Large",char broil,performance
